0 7 8 10	1	0+(10*(7*8))		
1 4 10 13	1	(1+13)*(10*4)		
1 5 8 13	1	(1+13)*(5*8)		
1 5 10 11	1	(1+(11*5))*10		
1 6 8 10	1	(1+6)*(10*8)		
1 7 7 10	1	(1+7)*(10*7)		
1 7 8 9	1	(1+9)*(7*8)		
1 7 8 10	1	1*(10*(7*8))		
1 7 8 11	1	(11-1)*(7*8)		
1 7 9 9	1	7*((9*9)-1)		
1 7 9 10	1	10*(7*(9-1))		
1 8 8 10	1	10*(8*(8-1))		
2 4 7 10	1	10*(2*(4*7))		
2 4 10 12	1	10*((12+2)*4)		
2 5 7 8	1	2*(5*(7*8))		
2 5 8 10	1	10*((2+5)*8)		
2 5 8 12	1	(12+2)*(5*8)		
2 5 10 11	1	((10*11)+2)*5		
2 6 7 10	1	10*((2+6)*7)		
2 6 7 13	1	((13*6)+2)*7		
2 6 8 12	1	((12*6)-2)*8		
2 6 9 10	1	10*(2+(6*9))		
2 7 8 8	1	(2+8)*(7*8)		
2 7 8 12	1	(12-2)*(7*8)		
2 7 10 10	1	10*((10-2)*7)		
2 8 8 9	1	8*((8*9)-2)		
2 8 9 10	1	10*(8*(9-2))		
3 4 8 10	1	10*((3+4)*8)		
3 4 10 11	1	10*((11+3)*4)		
3 4 11 13	1	((11*13)-3)*4		
3 5 7 10	1	10*((3+5)*7)		
3 5 7 13	1	(13+3)*(5*7)		
3 5 8 11	1	(11+3)*(5*8)		
3 7 7 8	1	(3+7)*(7*8)		
3 7 7 11	1	((11*7)+3)*7		
3 7 8 13	1	(13-3)*(7*8)		
3 7 10 11	1	10*((11-3)*7)		
3 8 10 10	1	10*((10-3)*8)		
4 4 5 7	1	4*(4*(5*7))		
4 4 7 10	1	10*((4+4)*7)		
4 4 10 10	1	10*((10+4)*4)		
4 4 10 13	1	10*((13*4)+4)		
4 4 12 12	1	((12*12)-4)*4		
4 5 7 12	1	(12+4)*(5*7)		
4 5 8 10	1	(10+4)*(5*8)		
4 5 9 10	1	10*(4*(5+9))		
4 5 9 12	1	((12*9)+4)*5		
4 5 10 12	1	10*((12*5)-4)		
4 6 7 8	1	(4+6)*(7*8)		
4 6 8 10	1	10*(4*(6+8))		
4 6 8 11	1	((11*6)+4)*8		
4 6 10 10	1	10*((10*6)-4)		
4 7 7 10	1	10*(4*(7+7))		
4 7 7 12	1	((12*7)-4)*7		
4 7 7 13	1	(13+7)*(4*7)		
4 7 8 12	1	(12+8)*(4*7)		
4 7 9 11	1	(11+9)*(4*7)		
4 7 10 10	1	(10+10)*(4*7)		
4 7 10 12	1	10*((12-4)*7)		
4 8 10 11	1	10*((11-4)*8)		
4 8 10 12	1	10*((12*4)+8)		
4 8 11 12	1	((11*12)+8)*4		
4 10 10 13	1	(10+(10*13))*4		
4 10 11 12	1	10*((11*4)+12)		
4 11 12 13	1	(11*(13*4))-12		
5 5 7 8	1	(5+5)*(7*8)		
5 5 7 11	1	(11+5)*(5*7)		
5 5 8 9	1	5*((5+9)*8)		
5 5 8 13	1	((13*5)+5)*8		
5 5 9 13	1	((13*9)-5)*5		
5 6 7 10	1	(10+6)*(5*7)		
5 6 8 8	1	5*((6+8)*8)		
5 6 10 10	1	10*((10*5)+6)		
5 7 7 8	1	5*((7+7)*8)		
5 7 7 9	1	5*(7*(7+9))		
5 7 8 8	1	5*(7*(8+8))		
5 7 10 13	1	10*((13-5)*7)		
5 8 8 13	1	((13*8)+8)*5		
5 8 10 12	3	((10*12)-8)*5	10*((12-5)*8)	(10+(12*5))*8
5 9 10 11	1	10*(11+(5*9))		
5 9 10 13	1	10*((13*5)-9)		
5 9 11 11	1	((11*11)-9)*5		
5 9 11 13	1	((11*9)+13)*5		
5 10 10 11	1	10+(10*(11*5))		
5 10 10 12	1	((10*10)+12)*5		
6 7 8 12	1	((12*6)+8)*7		
6 8 8 8	1	(6+(8*8))*8		
6 8 8 10	1	10*((6*8)+8)		
6 8 8 13	1	((13*6)-8)*8		
6 8 10 10	1	(10+(10*6))*8		
6 8 10 13	1	10*((13-6)*8)		
6 10 10 11	1	10*((11*6)-10)		
7 7 7 10	1	10*(7+(7*7))		
7 7 8 9	1	(7+(7*9))*8		
7 7 8 11	1	((11*7)-7)*8		
7 7 9 9	1	(7*(9*9))-7		
7 7 9 10	1	10*((7*9)-7)		
7 7 10 10	1	(10+(10*7))*7		
7 7 11 13	1	((13*7)-11)*7		
7 8 8 9	1	7*(8+(8*9))		
7 8 8 11	1	((11*8)-8)*7		
7 9 10 10	1	((10*9)-10)*7		
8 8 8 10	1	10*((8*8)-8)		
8 8 10 10	1	((10*8)-10)*8		
8 9 9 11	1	8*((9*9)-11)		
